order_id,product,category,quantity,unit_price,total,region,sales_rep,order_id_log,order_id_squared,quantity_log,quantity_squared,unit_price_log,unit_price_squared,total_squared,order_id_x_quantity,order_id_x_unit_price,order_id_x_total,quantity_x_unit_price,quantity_x_total
1001,Laptop Pro,Electronics,2.0,899.99,1799.98,North,Alice,6.90975328164481,1002001,1.0986122886681098,4.0,6.803494158767612,809982.0001000001,3239928.0004000003,2002.0,900889.99,1801779.98,1799.98,3599.96
1002,Wireless Mouse,Electronics,5.0,29.99,149.95,South,Bob,6.910750787961936,1004004,1.791759469228055,25.0,3.433664571799657,899.4001,22485.002499999995,5010.0,30049.98,150249.9,149.95,749.75
1003,Office Chair,Furniture,1.0,349.0,349.0,East,Carol,6.911747300251674,1006009,0.6931471805599453,1.0,5.857933154483459,121801.0,121801.0,1003.0,350047.0,350047.0,349.0,349.0
1004,Desk Lamp,Furniture,3.0,,0.0,West,Dave,6.912742820493176,1008016,1.3862943611198906,9.0,,,0.0,3012.0,,0.0,,0.0
1005,Laptop Pro,Electronics,2.0,899.99,1799.98,North,Alice,6.913737350659685,1010025,1.0986122886681098,4.0,6.803494158767612,809982.0001000001,3239928.0004000003,2010.0,904489.95,1808979.9,1799.98,3599.96
1006,Keyboard,Electronics,4.0,79.99,319.96,South,Bob,6.914730892718563,1012036,1.6094379124341003,16.0,4.3943256902608985,6398.400099999999,102374.40159999998,4024.0,80469.93999999999,321879.75999999995,319.96,1279.84
1007,Monitor,Electronics,1.0,449.99,449.99,,Carol,6.915723448631314,1014049,0.6931471805599453,1.0,6.111445166307853,202491.0001,202491.0001,1007.0,453139.93,453139.93,449.99,449.99
1008,USB Hub,Electronics,,19.99,0.0,West,Dave,6.9167150203536085,1016064,,,3.0440461338325417,399.60009999999994,0.0,,20149.92,0.0,,
1009,Webcam,Electronics,2.0,89.99,179.98,North,,6.917705609835305,1018081,1.0986122886681098,4.0,4.5107496103686,8098.200099999999,32392.800399999996,2018.0,90799.90999999999,181599.81999999998,179.98,359.96
1010,Laptop Pro,Electronics,2.0,899.99,1799.98,South,Alice,6.918695219020472,1020100,1.0986122886681098,4.0,6.803494158767612,809982.0001000001,3239928.0004000003,2020.0,908989.9,1817979.8,1799.98,3599.96
1011,Notebook,Stationery,10.0,4.5,45.0,East,Bob,6.919683849847411,1022121,2.3978952727983707,100.0,1.7047480922384253,20.25,2025.0,10110.0,4549.5,45495.0,45.0,450.0
1012,Pen Set,Stationery,20.0,1.99,39.8,West,Carol,6.920671504248683,1024144,3.044522437723423,400.0,1.095273387402595,3.9601,1584.0399999999997,20240.0,2013.8799999999999,40277.6,39.8,796.0
1013,Office Chair,Furniture,1.0,349.0,349.0,North,Dave,6.921658184151129,1026169,0.6931471805599453,1.0,5.857933154483459,121801.0,121801.0,1013.0,353537.0,353537.0,349.0,349.0
1014,Desk Lamp,Furniture,3.0,39.99,119.97,South,Alice,6.922643891475888,1028196,1.3862943611198906,9.0,3.7133281345162463,1599.2001000000002,14392.8009,3042.0,40549.86,121649.58,119.97,359.90999999999997
1015,Wireless Mouse,Electronics,5.0,29.99,149.95,East,Bob,6.923628628138427,1030225,1.791759469228055,25.0,3.433664571799657,899.4001,22485.002499999995,5075.0,30439.85,152199.25,149.95,749.75
